emr,əm
co-starring,koʊ-stɑrɪŋ
co-stars,koʊ-stɑz
co-stars,koʊ-stɑz
coach,koʊtʃ
coach-builder,koʊtʃ-bɪldər
coach-builders,koʊtʃ-bɪldəz
coached,koʊtʃt
coaches,koʊtʃɪz
coaching,koʊtʃɪŋ
coachman,koʊtʃmən
coachmen,koʊtʃmen
coagulate,koʊægjʊleɪt
coagulated,koʊægjʊleɪtɪd
coagulates,koʊægjʊleɪts
coagulating,koʊægjʊleɪtɪŋ
coagulation,koʊægjʊleɪʃn
coagulations,koʊægjʊleɪʃnz
coal,koʊl
coal-gas,koʊl-gæs
coal-hole,koʊl-hoʊl
coal-holes,koʊl-hoʊlz
coal-house,koʊl-haʊs
coal-houses,koʊl-haʊzɪz
coal-scuttle,koʊl-skʌtl
coal-scuttles,koʊl-skʌtlz
coal-seam,koʊl-sim
coal-seams,koʊl-simz
coal-tar,koʊl-tɑr
coaled,koʊld
coalesce,koʊəles
coalesced,koʊəlest
coalescence,koʊəlesəns
coalescences,koʊəlesənsɪz
coalesces,koʊəlesɪz
coalescing,koʊəlesɪŋ
coalface,koʊlfeɪs
coalfaces,koʊlfeɪsɪz
coalfield,koʊlfild
coalfields,koʊlfildz
coaling,koʊlɪŋ
coaling-station,koʊlɪŋ-steɪʃn
coaling-stations,koʊlɪŋ-steɪʃnz
coalition,koʊəlɪʃn
coalitions,koʊəlɪʃnz
coalman,koʊlmən
coalmen,koʊlmen
coalmine,koʊlmaɪn
coalmines,koʊlmaɪnz
coalpit,koʊlpɪt
coalpits,koʊlpɪts
coals,koʊlz
coaming,koʊmɪŋ
coamings,koʊmɪŋz
coarse,kɔs
coarsely,kɔslɪ
coarsen,kɔsn
coarsened,kɔsnd
coarseness,kɔsnəs
coarsening,kɔsnɪŋ
coarsens,kɔsnz
coarser,kɔsər
coarsest,kɔsɪst
coast,koʊst
coastal,koʊstl
coasted,koʊstɪd
coaster,koʊstər
coasters,koʊstəz
coastguard,koʊstgɑd
coastguards,koʊstgɑdz
coasting,koʊstɪŋ
coastline,koʊstlaɪn
coastlines,koʊstlaɪnz
coasts,koʊsts
coastwise,koʊstwaɪz
coat,koʊt
coat-hanger,koʊt-hæŋər
coat-hangers,koʊt-hæŋəz
coat-tails,koʊt-teɪls
coated,koʊtɪd
coatee,koʊti
coatees,koʊtiz
coating,koʊtɪŋ
coatings,koʊtɪŋz
coats,koʊts
coax,koʊks
coaxed,koʊkst
coaxes,koʊksɪz
coaxing,koʊksɪŋ
coaxingly,koʊksɪŋlɪ
coaxings,koʊksɪŋz
cob,kɒb
cob-nut,kɒb-nʌt
cob-nuts,kɒb-nʌts
cobalt,koʊbɔlt
cobber,kɒbər
cobbers,kɒbəz
cobble,kɒbl
cobbled,kɒbld
cobbler,kɒblər
cobblers,kɒbləz
cobbles,kɒblz
cobblestone,kɒblstoʊn
cobblestones,kɒblstoʊnz
cobbling,kɒblɪŋ
cobra,koʊbrə
cobras,koʊbrəz
cobs,kɒbz
cobweb,kɒbweb
cobwebs,kɒbwebz
cocaine,koʊkeɪn
cochineal,kɒtʃɪnil
cochlea,kɒklɪə
cochleas,kɒklɪəz
cock,kɒk
cock-a-doodle-doo,kɒk-ə-dudl-du
cock-a-doodle-doos,kɒk-ə-dudl-duz
cock-a-hoop,kɒk-ə-hup
cock-crow,kɒk-kroʊ
cock-crows,kɒk-kroʊz
cockade,kɒkeɪd
cockades,kɒkeɪdz
cockatoo,kɒkətu
cockatoos,kɒkətuz
cockchafer,kɒktʃeɪfər
cockchafers,kɒktʃeɪfəz
cocked,kɒkt
cocker,kɒkər
cockerel,kɒkərəl
cockerels,kɒkərəlz
cockers,kɒkəz
cockeyed,kɒkaɪd
cockfighting,kɒkfaɪtɪŋ
cockhorse,kɒkhɔs
cockhorses,kɒkhɔsɪz
cockier,kɒkɪər
cockiest,kɒkɪɪst
cocking,kɒkɪŋ
cockle,kɒkl
cockles,kɒklz
cockleshell,kɒklʃel
cockleshells,kɒklʃelz
cockney,kɒknɪ
cockneys,kɒknɪz
cockpit,kɒkpɪt
cockpits,kɒkpɪts
cockroach,kɒkroʊtʃ
cockroaches,kɒkroʊtʃɪz
cocks,kɒks
cockscomb,kɒkskoʊm
cockscombs,kɒkskoʊmz
cocksure,kɒkʃʊər
cocktail,kɒkteɪl
cocktails,kɒkteɪlz
cockup,kɒkʌp
cockups,kɒkʌps
cocky,kɒkɪ
coco,koʊkoʊ
cocoa,koʊkoʊ
coconut,koʊkənʌt
coconuts,koʊkənʌts
cocoon,kəkun
cocooned,kəkund
cocooning,kəkunɪŋ
cocoons,kəkunz
cocos,koʊkoʊz
cocotte,kɒkɒt
cocottes,kɒkɒts
cod,kɒd
cod-liver oil,kɒd-lɪvər oɪl
coda,koʊdə
codas,koʊdəz
codded,kɒdɪd
codding,kɒdɪŋ
coddle,kɒdl
coddled,kɒdld
coddles,kɒdlz
coddling,kɒdlɪŋ
code,koʊd
coded,koʊdɪd
codeine,koʊdin
codes,koʊdz
codex,koʊdeks
codfish,kɒdfɪʃ
codfishes,kɒdfɪʃɪz
codger,kɒdʒər
codgers,kɒdʒəz
codices,koʊdɪsiz
codicil,koʊdɪsɪl
codicils,koʊdɪsɪlz
codification,koʊdɪfɪkeɪʃn
codifications,koʊdɪfɪkeɪʃnz
codified,koʊdɪfaɪd
codifies,koʊdɪfaɪz
codify,koʊdɪfaɪ
codifying,koʊdɪfaɪɪŋ
coding,koʊdɪŋ
codling,kɒdlɪŋ
codlings,kɒdlɪŋz
codpiece,kɒdpis
codpieces,kɒdpisɪz
cods,kɒdz
coeducation,koʊedʒʊkeɪʃn
coeducational,koʊɪdjəkeɪʃənəl
coefficient,koʊɪfɪʃnt
coefficients,koʊɪfɪʃnts
coerce,koʊɜs
coerced,koʊɜst
coerces,koʊɜsɪz
coercing,koʊɜsɪŋ
coercion,koʊɜʃn
coercive,koʊɜsɪv
coeval,koʊivl
coevals,koʊivlz
coexist,koʊɪgzɪst
coexisted,koʊɪgzɪstɪd
coexistence,koʊɪgzɪstəns
coexisting,koʊɪgzɪstɪŋ
coexists,koʊɪgzɪsts
coffee,kɒfɪ
coffee-house,kɒfɪ-haʊs
coffee-houses,kɒfɪ-haʊzɪz
coffee-mill,kɒfɪ-mɪl
coffee-mills,kɒfɪ-mɪlz
coffee-stall,kɒfɪ-stɔl
coffee-stalls,kɒfɪ-stɔlz
coffees,kɒfɪz
coffer,kɒfər
coffer-dam,kɒfə-dæm
coffer-dams,kɒfə-dæmz
coffers,kɒfəz
coffin,kɒfɪn
coffins,kɒfɪnz
cog,kɒg
cogency,koʊdʒənsɪ
cogent,koʊdʒənt
cogitate,kɒdʒɪteɪt
cogitated,kɒdʒɪteɪtɪd
cogitates,kɒdʒɪteɪts
cogitating,kɒdʒɪteɪtɪŋ
cogitation,kɒdʒɪteɪʃn
cognac,kɒnjæk
cognate,kɒgneɪt
cognates,kɒgneɪts
cognition,kɒgnɪʃn
cognizance,kɒgnɪzəns
cognizant,kɒgnɪzənt
cognomen,kɒgnoʊmən
cognomens,kɒgnoʊmənz
cogs,kɒgz
cogwheel,kɒgwil
cogwheels,kɒgwilz
cohabit,koʊhæbɪt
cohabitation,koʊhæbɪteɪʃn
cohabited,koʊhæbɪtɪd
cohabiting,koʊhæbɪtɪŋ
cohabits,koʊhæbɪts
cohere,koʊhɪər
cohered,koʊhɪəd
coherence,koʊhɪərəns
coherency,koʊhɪərənsɪ
coherent,kəhɪərənt
coherently,kəhɪərəntlɪ
coheres,koʊhɪəz
cohering,koʊhɪərɪŋ
cohesion,koʊhiʒn
cohesive,koʊhisɪv
cohort,koʊhɔt
cohorts,koʊhɔts
coif,koɪf
coiffeur,kwɑfɜr
coiffeurs,kwɑfɜz
coiffure,kwɑfjʊər
coiffures,kwɑfjʊəz
coifs,koɪfs
coign,koɪn
coigns,koɪnz
coil,koɪl
coiled,koɪld
coiling,koɪlɪŋ
coils,koɪlz
coin,koɪn
coinage,koɪnɪdʒ
coinages,koɪnɪdʒɪz
coincide,koʊɪnsaɪd
coincided,koʊɪnsaɪdɪd
coincidence,koʊɪnsɪdəns
coincidences,koʊɪnsɪdənsɪz
coincident,koʊɪnsɪdənt
coincidental,koʊɪnsɪdentl
coincides,koʊɪnsaɪdz
coinciding,koʊɪnsaɪdɪŋ
coined,koɪnd
coiner,koɪnər
coiners,koɪnəz
coining,koɪnɪŋ
coins,koɪnz
coir,koɪər
coition,koʊɪʃn
coitus,koʊɪtəs
coke,koʊk
coked,koʊkt
cokes,koʊks
coking,koʊkɪŋ
col,kɒl
cola,koʊlə
colander,kʌləndər
colanders,kʌləndəz
colas,koʊləz
cold,koʊld
cold-blooded,koʊld-blʌdɪd
cold-hearted,koʊld-hɑtɪd
cold-shoulder,koʊld-ʃoʊldər
cold-shouldered,koʊld-ʃoʊldəd
cold-shouldering,koʊld-ʃoʊldərɪŋ
cold-shoulders,koʊld-ʃoʊldəz
colder,koʊldər
coldest,koʊldɪst
coldly,koʊldlɪ
coldness,koʊldnəs
colds,koʊldz
coleslaw,koʊlslɔ
colic,kɒlɪk
colitis,kəlaɪtɪs
collaborate,kəlæbəreɪt
collaborated,kəlæbəreɪtɪd
collaborates,kəlæbəreɪts
collaborating,kəlæbəreɪtɪŋ
collaboration,kəlæbəreɪʃn
collaborationist,kəlæbəreɪʃənɪst
collaborationists,kəlæbəreɪʃənɪsts
collaborator,kəlæbəreɪtər
collaborators,kəlæbəreɪtəz
collage,kɒlɑʒ
collages,kɒlɑʒɪz
collapsable,kəlæpsəbl
collapse,kəlæps
collapsed,kəlæpst
collapses,kəlæpsɪz
collapsible,kəlæpsəbl
collapsing,kəlæpsɪŋ
collar,kɒlər
collarbone,kɒləboʊn
collarbones,kɒləboʊnz
collared,kɒləd
collaring,kɒlərɪŋ
collars,kɒləz
collate,kəleɪt
collated,kəleɪtɪd
collateral,kəlætərəl
collates,kəleɪts
collating,kəleɪtɪŋ
collation,kəleɪʃn
collations,kəleɪʃnz
colleague,kɒlig
colleagues,kɒligz
collect,kɒlekt
collect,kəlekt
collected,kəlektɪd
collectedly,kəlektɪdlɪ
collecting,kəlektɪŋ
collection,kəlekʃn
collections,kəlekʃnz
collective,kəlektɪv
collectivization,kəlektɪvaɪzeɪʃn
collectivizations,kəlektɪvaɪzeɪʃnz
collectivize,kəlektɪvaɪz
collectivized,kəlektɪvaɪzd
collectivizes,kəlektɪvaɪzɪz
collectivizing,kəlektɪvaɪzɪŋ
collector,kəlektər
collectors,kəlektəz
collects,kɒlekts
collects,kəlekts
colleen,kɒlin
colleens,kɒlinz
college,kɒlɪdʒ
colleges,kɒlɪdʒɪz
collegiate,kəlidʒɪət
collide,kəlaɪd
collided,kəlaɪdɪd
collides,kəlaɪdz
colliding,kəlaɪdɪŋ
collie,kɒlɪ
collier,kɒlɪər
collieries,kɒljərɪz
colliers,kɒlɪəz
colliery,kɒljərɪ
collies,kɒlɪz
collision,kəlɪʒn
collisions,kəlɪʒnz
collocate,kɒləkeɪt
collocated,kɒləkeɪtɪd
collocates,kɒləkeɪts
collocating,kɒləkeɪtɪŋ
collocation,kɒləkeɪʃn
collocations,kɒləkeɪʃnz
colloquial,kəloʊkwɪəl
colloquialism,kəloʊkwɪəlɪzəm
colloquialisms,kəloʊkwɪəlɪzəmz
colloquially,kəloʊkwɪəlɪ
colloquies,kɒləkwɪz
colloquy,kɒləkwɪ
collusion,kəluʒn
collusive,kəlusɪv
collywobbles,kɒlɪwɒblz
colon,koʊlən
colonel,kɜnl
colonels,kɜnlz
colonial,kəloʊnɪəl
colonialism,kəloʊnɪəlɪzəm
colonialist,kəloʊnɪəlɪst
colonialists,kəloʊnɪəlɪsts
colonials,kəloʊnɪəlz
colonies,kɒlənɪz
colonist,kɒlənɪst
colonists,kɒlənɪsts
colonization,kɒlənaɪzeɪʃn
colonize,kɒlənaɪz
colonized,kɒlənaɪzd
colonizer,kɒlənaɪzər
colonizers,kɒlənaɪzəz
colonizes,kɒlənaɪzɪz
colonizing,kɒlənaɪzɪŋ
colonnade,kɒləneɪd
colonnaded,kɒləneɪdɪd
colonnades,kɒləneɪdz
colons,koʊlənz
colony,kɒlənɪ
coloratura,kɒlərətʊərə
colossal,kəlɒsl
colossi,kəlɒsaɪ
colossus,kəlɒsəs
colour,kʌlər
colour-bar,kʌlə-bɑr
colour-bars,kʌlə-bɑz
colour-blind,kʌlə-blaɪnd
colour-wash,kʌlə-wɒʃ
colour-washes,kʌlə-wɒʃɪz
coloured,kʌləd
colourful,kʌləfəl
colouring,kʌlərɪŋ
colourless,kʌlələs
colours,kʌləz
cols,kɒlz
colt,koʊlt
coltish,koʊltɪʃ
colts,koʊlts
columbine,kɒləmbaɪn
columbines,kɒləmbaɪnz
column,kɒləm
columnist,kɒləmnɪst
columnists,kɒləmnɪsts
columns,kɒləmz
coma,koʊmə
comas,koʊməz
comatose,koʊmətoʊs
comb,koʊm
comb-out,koʊm-aʊt
comb-outs,koʊm-aʊts
combat,kɒmbæt
combatant,kɒmbətənt
combatants,kɒmbətənts
combated,kɒmbætɪd
combating,kɒmbætɪŋ
combative,kɒmbətɪv
combatively,kɒmbətɪvlɪ
combats,kɒmbæts
combed,koʊmd
combination,kɒmbɪneɪʃn
combination-lock,kɒmbɪneɪʃn-lɒk
combination-locks,kɒmbɪneɪʃn-lɒks
combinations,kɒmbɪneɪʃnz
combine,kɒmbaɪn
combine,kəmbaɪn
combined,kəmbaɪnd
combines,kɒmbaɪnz
combines,kəmbaɪnz
combing,koʊmɪŋ
combining,kəmbaɪnɪŋ
combs,koʊmz
combustible,kəmbʌstəbl
combustibles,kəmbʌstəblz
combustion,kəmbʌstʃən
come,kʌm
come-at-able,kʌm-æt-əbl
come-on,kʌm-ɒn
come-ons,kʌm-ɒnz
comeback,kʌmbæk
comebacks,kʌmbæks
comedian,kəmidɪən
comedians,kəmidɪənz
comedienne,kəmidɪen
comediennes,kəmidɪenz
comedies,kɒmədɪz
comedown,kʌmdaʊn
comedowns,kʌmdaʊnz
comedy,kɒmədɪ
comelier,kʌmlɪər
comeliest,kʌmlɪɪst
comeliness,kʌmlɪnəs
comely,kʌmlɪ
comer,kʌmər
comers,kʌməz
comes,kʌmz
comestible,kəmestəbl
comestibles,kəmestəblz
comet,kɒmɪt
comets,kɒmɪts
comfier,kʌmfɪər
comfiest,kʌmfɪɪst
comfit,kʌmfɪt
comfits,kʌmfɪts
comfort,kʌmfət
comfortable,kʌmftəbl
comfortably,kʌmftəblɪ
comforted,kʌmfətɪd
comforter,kʌmfətər
comforters,kʌmfətəz
comforting,kʌmfətɪŋ
comfortingly,kʌmfətɪŋlɪ
comfortless,kʌmfətləs
comforts,kʌmfəts
comfrey,kʌmfrɪ
comfy,kʌmfɪ
comic,kɒmɪk
comical,kɒmɪkl
comically,kɒmɪklɪ
comics,kɒmɪks
coming,kʌmɪŋ
comings,kʌmɪŋz
comity,kɒmɪtɪ
comma,kɒmə
command,kəmɑnd
commandant,kɒməndænt
commandants,kɒməndænts
commanded,kəmɑndɪd
commandeer,kɒməndɪər
commandeered,kɒməndɪəd
commandeering,kɒməndɪərɪŋ
commandeers,kɒməndɪəz
commander,kəmɑndər
commanders,kəmɑndəz
commanding,kəmɑndɪŋ
commandment,kəmɑndmənt
commandments,kəmɑndmənts
commando,kəmɑndoʊ
commandoes,kəmɑndoʊz
commandos,kəmɑndoʊz
commands,kəmɑndz
commas,kɒməz
commemorate,kəmeməreɪt
commemorated,kəmeməreɪtɪd
commemorates,kəmeməreɪts
commemorating,kəmeməreɪtɪŋ
commemoration,kəmeməreɪʃn
commemorations,kəmeməreɪʃnz
commemorative,kəmemərətɪv
commence,kəmens
commenced,kəmenst
commencement,kəmensmənt
commencements,kəmensmənts
commences,kəmensɪz
commencing,kəmensɪŋ
commend,kəmend
commendable,kəmendəbl
commendation,kɒmendeɪʃn
commendations,kɒmendeɪʃnz
commended,kəmendɪd
commending,kəmendɪŋ
commends,kəmendz
commensurable,kəmenʃərəbl
commensurate,kəmenʃərət
comment,kɒment
commentaries,kɒməntrɪz
commentary,kɒməntrɪ
commentate,kɒmənteɪt
commentated,kɒmənteɪtɪd
commentates,kɒmənteɪts
commentating,kɒmənteɪtɪŋ
commentator,kɒmənteɪtər
commentators,kɒmənteɪtəz
commented,kɒmentɪd
commenting,kɒmentɪŋ
comments,kɒments
commerce,kɒmɜs
commercial,kəmɜʃl
commercialism,kəmɜʃlɪzm
commercialize,kəmɜʃəlaɪz
commercialized,kəmɜʃəlaɪzd
commercializes,kəmɜʃəlaɪzɪz
commercializing,kəmɜʃəlaɪzɪŋ
commercially,kəmɜʃlɪ
commercials,kəmɜʃlz
commination,kɒmɪneɪʃn
comminations,kɒmɪneɪʃnz
comminatory,kɒmɪnətrɪ
commingle,kəmɪŋgl
commingled,kəmɪŋgld
commingles,kəmɪŋglz
commingling,kəmɪŋglɪŋ
commiserate,kəmɪzəreɪt
commiserated,kəmɪzəreɪtɪd
commiserates,kəmɪzəreɪts
commiserating,kəmɪzəreɪtɪŋ
commiseration,kəmɪzəreɪʃn
commiserations,kəmɪzəreɪʃnz
commissar,kɒmɪsɑr
commissariat,kɒmɪseərɪət
commissariats,kɒmɪseərɪəts
commissaries,kɒmɪsərɪz
commissars,kɒmɪsɑz
commissary,kɒmɪsərɪ
commission,kəmɪʃn
commissionaire,kəmɪʃəneər
commissionaires,kəmɪʃəneəz
commissioned,kəmɪʃnd
commissioner,kəmɪʃənər
commissioners,kəmɪʃənəz
commissioning,kəmɪʃnɪŋ
commissions,kəmɪʃnz
commit,kəmɪt
commital,kəmɪtl
commitals,kəmɪtlz
commitment,kəmɪtmənt
commitments,kəmɪtmənts
commits,kəmɪts
committed,kəmɪtɪd
committee,kəmɪtɪ
committees,kəmɪtɪz
committing,kəmɪtɪŋ
commode,kəmoʊd
commodes,kəmoʊdz
commodious,kəmoʊdɪəs
commodities,kəmɒdɪtɪz
commodity,kəmɒdɪtɪ
commodore,kɒmədɔr
commodores,kɒmədɔz
common,kɒmən
common-room,kɒmən-rum
common-rooms,kɒmən-rumz
commonalties,kɒmənəltɪz
commonalty,kɒmənəltɪ
commoner,kɒmənər
commoners,kɒmənəz
commonest,kɒmənɪst
commonly,kɒmənlɪ
commonplace,kɒmənpleɪs
commonplaces,kɒmənpleɪsɪz
commons,kɒmənz
commonwealth,kɒmənwelθ
commonwealths,kɒmənwelθs
commotion,kəmoʊʃn
commotions,kəmoʊʃnz
communal,kɒmjʊnl
communally,kɒmjʊnəlɪ
commune,kɒmjun
commune,kəmjun
communed,kəmjund
communes,kɒmjunz
communes,kəmjunz
communicable,kəmjunɪkəbl
communicant,kəmjunɪkənt
communicants,kəmjunɪkənts
communicate,kəmjunɪkeɪt
communicated,kəmjunɪkeɪtɪd
communicates,kəmjunɪkeɪts
communicating,kəmjunɪkeɪtɪŋ
communication,kəmjunɪkeɪʃn
communications,kəmjunɪkeɪʃnz
communicative,kəmjunɪkətɪv
communing,kəmjunɪŋ
communion,kəmjunɪən
communions,kəmjunɪənz
communiqu_e,kəmjunɪkeɪ
communiqu_es,kəmjunɪkeɪz
communism,kɒmjʊnɪzəm
communist,kɒmjʊnɪst
communists,kɒmjʊnɪsts
communities,kəmjunɪtɪz
community,kəmjunɪtɪ
commutable,kəmjutəbl
commutation,kɒmjuteɪʃn
commutations,kɒmjuteɪʃnz
commutator,kɒmjuteɪtər
commutators,kɒmjuteɪtəz
commute,kəmjut
commuted,kəmjutɪd
commuter,kəmjutər
commuters,kəmjutəz
commutes,kəmjuts
commuting,kəmjutɪŋ
comp`ere,kɒmpeər
comp`ered,kɒmpeəd
comp`eres,kɒmpeəz
comp`ering,kɒmpeərɪŋ
compact,kɒmpækt
compact,kəmpækt
compacted,kəmpæktɪd
compacting,kəmpæktɪŋ
compactly,kəmpæktlɪ
compactness,kəmpæktnəs
compacts,kɒmpækts
compacts,kəmpækts
companies,kʌmpənɪz
companion,kəmpænɪən
companionable,kəmpænɪənəbl
companions,kəmpænɪənz
companionship,kəmpænɪənʃɪp
companionway,kəmpænɪənweɪ
companionways,kəmpænɪənweɪz
company,kʌmpənɪ
comparability,kɒmpərəbɪlɪtɪ
comparable,kɒmpərəbl
comparative,kəmpærətɪv
comparatively,kəmpærətɪvlɪ
comparatives,kəmpærətɪvz
compare,kəmpeər
compared,kəmpeəd
compares,kəmpeəz
comparing,kəmpeərɪŋ
comparison,kəmpærɪsn
comparisons,kəmpærɪsnz
compartment,kəmpɑtmənt
compartmentalize,kɒmpɑtmentəlaɪz
compartmentalized,kɒmpɑtmentəlaɪzd
compartmentalizes,kɒmpɑtmentəlaɪzɪz
compartmentalizing,kɒmpɑtmentəlaɪzɪŋ
compartments,kəmpɑtmənts
compass,kʌmpəs
compassed,kʌmpəst
compasses,kʌmpəsɪz
compassing,kʌmpəsɪŋ
compassion,kəmpæʃn
compassionate,kəmpæʃənət
compassionately,kəmpæʃənətlɪ
compatibility,kəmpætəbɪlɪtɪ
compatible,kəmpætəbl
compatibly,kəmpætəblɪ
compatriot,kəmpætrɪət
compatriots,kəmpætrɪəts
compeer,kɒmpɪər
compeers,kɒmpɪəz
compel,kəmpel
compelled,kəmpeld
compelling,kəmpelɪŋ
compels,kəmpelz
compendious,kəmpendɪəs
compendium,kəmpendɪəm
compendiums,kəmpendɪəmz
compensate,kɒmpənseɪt
compensated,kɒmpənseɪtɪd
compensates,kɒmpənseɪts
compensating,kɒmpənseɪtɪŋ
compensation,kɒmpenseɪʃn
compensations,kɒmpenseɪʃnz
compensatory,kəmpensətərɪ
compete,kəmpit
competed,kəmpitɪd
competence,kɒmpɪtəns
competent,kɒmpɪtənt
competently,kɒmpɪtəntlɪ
competes,kəmpits
competing,kəmpitɪŋ
competition,kɒmpətɪʃn
competitions,kɒmpətɪʃnz
competitive,kəmpetətɪv
competitiveness,kəmpetətɪvnɪs
competitor,kəmpetɪtər
competitors,kəmpetɪtəz
compilation,kɒmpɪleɪʃn
compilations,kɒmpɪleɪʃnz
compile,kəmpaɪl
compiled,kəmpaɪld
compiler,kəmpaɪlər
compilers,kəmpaɪləz
compiles,kəmpaɪlz
compiling,kəmpaɪlɪŋ
complacence,kəmpleɪsəns
complacency,kəmpleɪsənsɪ
complacent,kəmpleɪsənt
complacently,kəmpleɪsəntlɪ
complain,kəmpleɪn
complainant,kəmpleɪnənt
complainants,kəmpleɪnənts
complained,kəmpleɪnd
complaining,kəmpleɪnɪŋ
complainingly,kəmpleɪnɪŋlɪ
complains,kəmpleɪnz
complaint,kəmpleɪnt
complaints,kəmpleɪnts
complaisance,kəmpleɪzəns
complaisant,kəmpleɪzənt
complement,kɒmplɪmənt
complementary,kɒmplɪmentrɪ
complemented,kɒmplɪməntɪd
complementing,kɒmplɪməntɪŋ
complements,kɒmplɪmənts
complete,kəmplit
completed,kəmplitɪd
completely,kəmplitlɪ
completeness,kəmplitnəs
completes,kəmplits
completing,kəmplitɪŋ
completion,kəmpliʃn
complex,kɒmpleks
complexes,kɒmpleksɪz
complexion,kəmplekʃn
complexions,kəmplekʃnz
complexities,kəmpleksɪtɪz
complexity,kəmpleksɪtɪ
compliance,kəmplaɪəns
compliant,kəmplaɪənt
complicate,kɒmplɪkeɪt
complicated,kɒmplɪkeɪtɪd
complicates,kɒmplɪkeɪts
complicating,kɒmplɪkeɪtɪŋ
complication,kɒmplɪkeɪʃn
complications,kɒmplɪkeɪʃnz
complicity,kəmplɪsɪtɪ
complied,kəmplaɪd
complies,kəmplaɪz
compliment,kɒmplɪmənt
compliment,kɒmplɪment
complimentary,kɒmplɪmentrɪ
complimented,kɒmplɪmentɪd
complimenting,kɒmplɪmentɪŋ
compliments,kɒmplɪmənts
compliments,kɒmplɪments
complin,kɒmplɪn
compline,kɒmplɪn
complines,kɒmplɪnz
complins,kɒmplɪnz
comply,kəmplaɪ
complying,kəmplaɪɪŋ
component,kəmpoʊnənt
components,kəmpoʊnənts
comport,kəmpɔt
comported,kəmpɔtɪd
comporting,kəmpɔtɪŋ
comportment,kəmpɔtmənt
comportments,kəmpɔtmənts
comports,kəmpɔts
compos mentis,kɒmpəs mentɪs
compose,kəmpoʊz
composed,kəmpoʊzd
composedly,kəmpoʊzɪdlɪ
composer,kəmpoʊzər
composers,kəmpoʊzəz
composes,kəmpoʊzɪz
composing,kəmpoʊzɪŋ
composite,kɒmpəzɪt
composition,kɒmpəzɪʃn
compositions,kɒmpəzɪʃnz
compositor,kəmpɒzɪtər
compositors,kəmpɒzɪtəz
compost,kɒmpɒst
composted,kɒmpɒstɪd
composting,kɒmpɒstɪŋ
composts,kɒmpɒsts
composure,kəmpoʊʒər
compote,kɒmpɒt
compotes,kɒmpɒts
compound,kɒmpaʊnd
compound,kəmpaʊnd
compounded,kəmpaʊndɪd
compounding,kəmpaʊndɪŋ
compounds,kɒmpaʊndz
compounds,kəmpaʊndz
comprehend,kɒmprɪhend
comprehended,kɒmprɪhendɪd
comprehending,kɒmprɪhendɪŋ
comprehends,kɒmprɪhendz
comprehensibility,kɒmprɪhensəbɪlɪtɪ
comprehensible,kɒmprɪhensəbl
comprehension,kɒmprɪhenʃn
comprehensions,kɒmprɪhenʃnz
comprehensive,kɒmprɪhensɪv
comprehensively,kɒmprɪhensɪvlɪ
comprehensiveness,kɒmprɪhensɪvnəs
compress,kɒmpres
compress,kəmpres
compressed,kəmprest
compresses,kɒmpresɪz
compresses,kəmpresɪz
compressing,kəmpresɪŋ
compression,kəmpreʃn
compressor,kəmpresər
compressors,kəmpresəz
comprise,kəmpraɪz
comprised,kəmpraɪzd
comprises,kəmpraɪzɪz
comprising,kəmpraɪzɪŋ
compromise,kɒmprəmaɪz
compromised,kɒmprəmaɪzd
compromises,kɒmprəmaɪzɪz
compromising,kɒmprəmaɪzɪŋ
comptroller,kəntroʊlər
comptrollers,kəntroʊləz
compulsion,kəmpʌlʃn
compulsive,kəmpʌlsɪv
compulsively,kəmpʌlsɪvlɪ
compulsorily,kəmpʌlsərəlɪ
compulsory,kəmpʌlsərɪ
compunction,kəmpʌŋkʃn
computation,kɒmpjʊteɪʃn
computational,kɒmpjʊteɪʃənl
computationally,kɒmpjʊteɪʃnəlɪ
computations,kɒmpjʊteɪʃnz
compute,kəmpjut
computed,kəmpjutɪd
computer,kəmpjutər
computerize,kəmpjutəraɪz
computerized,kəmpjutəraɪzd
computerizes,kəmpjutəraɪzɪz
computerizing,kəmpjutəraɪzɪŋ
computers,kəmpjutəz
computes,kəmpjuts
computing,kəmpjutɪŋ
comrade,kɒmreɪd
comradely,kɒmreɪdlɪ
comrades,kɒmreɪdz
comradeship,kɒmreɪdʃɪp
comradeships,kɒmreɪdʃɪps
con,kɒn
con-man,kɒn-mæn
con-men,kɒn-men
concatenation,kɒnkætəneɪʃn
concatenations,kɒnkætəneɪʃnz
concave,kɒŋkeɪv
concavities,kɒnkævɪtɪz
concavity,kɒnkævɪtɪ
conceal,kənsil
concealed,kənsild
concealing,kənsilɪŋ
concealment,kənsilmənt
conceals,kənsilz
concede,kənsid
conceded,kənsidɪd
concedes,kənsidz
conceding,kənsidɪŋ
conceit,kənsit
conceited,kənsitɪd
conceitedly,kənsitɪdlɪ
conceits,kənsits
conceivable,kənsivəbl
conceivably,kənsivəblɪ
conceive,kənsiv
conceived,kənsivd
conceives,kənsivz
conceiving,kənsivɪŋ
concentrate,kɒnsəntreɪt
concentrated,kɒnsəntreɪtɪd
concentrates,kɒnsəntreɪts
concentrating,kɒnsəntreɪtɪŋ
concentration,kɒnsəntreɪʃn
concentrations,kɒnsəntreɪʃnz
concentric,kənsentrɪk
concept,kɒnsept
conception,kənsepʃn
conceptions,kənsepʃnz
concepts,kɒnsepts
conceptual,kənseptjʊəl
